Name,Location,Website,contact,mapLocation
"Hotel Sunshine View, Nagarkot","PGFH+724, बालुवापाटी देउपुर 44812",यहाँ अवस्थित छ: Hotel Village View Nagarkot,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Hotel Sakura Durbar,"Road 02, बालुवापाटी देउपुर 45200",985-1232077,PG9C+65 बालुवापाटी देउपुर,तपाईंको फोनमा पठाउनुहोस्
Panorama Guest House restaurant and bar,"PG99+8H5, महामञ्जुश्री नगरकोट 44812",तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्,तपाईंको फोनमा पठाउनुहोस्
Fortune Resort & Wellness Spa,"JFWG+84F, Chitaol-05, भक्तपुर 44800",011-661315,JFWG+84 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
हिलसाइड भिलेज रिसोर्ट,44812,facebook.com,01-6680044,PGHF+PR शङ्खरापुर
Serene Resort Nagarkot,"Nagarkot, महामञ्जुश्री नगरकोट 44812",facebook.com,01-6680189,PGFF+JH महामञ्जुश्री नगरकोट
Hotel Sunrise View,"Nagarkot, Mandandeupur- 2, 44812",01-6680183,PGCF+RC बालुवापाटी देउपुर,तपाईंको फोनमा पठाउनुहोस्
बर्ग हाउस क्याफे एन्ड होटल,"PG99+8JF, महामञ्जुश्री नगरकोट 44812",01-6680067,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Nagarkot Stupa Resort,"PGCF+Q7J, 44812",यहाँ अवस्थित छ: Nagarkot Resort Pvt Ltd,01-6680199,तपाईंको फोनमा पठाउनुहोस्
The Lapsi Tree,"danda gaun marg, 44812",lapsitree.com.np,PGMG+C7 शङ्खरापुर,तपाईंको फोनमा पठाउनुहोस्
नयाँगाउँ भिलेज रिसोर्ट,"Changunarayan - 6, 44812",01-6680155,PG7C+P3 महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
होटल ग्रिन भ्याली,"PGFH+642, बालुवापाटी देउपुर 44812",hotelgreenvalley.com.np,01-6680078,तपाईंको फोनमा पठाउनुहोस्
Kavya Resort & Spa,"Nagarkot Road, Mahamanjushree, 44812",kavyaresorts.com,974-5617619,MGVC+RM महामञ्जुश्री नगरकोट
OYO 321 Hotel Everest Window View,"44812 Buspark, 44812",oyorooms.com,PG9C+G4 बालुवापाटी देउपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Atithi Satkar Pvt. Ltd.,"Naya Gaun, 44812",hotelatithisatkar.com,984-1621015,PG79+F7 महामञ्जुश्री नगरकोट
Sunrise point home stay,"Nagarkot-Higuwapati Road, बालुवापाटी देउपुर 44812",ramghising02.wixsite.com,984-1916419,PG8G+Q8 बालुवापाटी देउपुर
Mountain Resort Nagarkot,"PGCF+P89 Nagarkot Mandandeupur, 02, 44812",facebook.com,01-6680203,PGCF+P8 बालुवापाटी देउपुर
चागु नेवा होम स्टे,"Inbaha Tole, ward no 4 , Changunarayan Near p and p restaurants, 44600",facebook.com,984-1042007,PC8H+GX चाँगुनारायण
सिस्टर्स होमस्टे,"PG65+946, Sunrise Hotel Road, महामञ्जुश्री नगरकोट 44812",984-1787136,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
नगरकोट फार्म हाउस,"Madan Dev Pura, शङ्खरापुर 44812",nagarkotfarmhouse.com,974-9499983,PGJ9+98 शङ्खरापुर
द फोर्ट रिसोर्ट,"Nagarkot, 44600",fortretreat.com,01-6680149,PGFG+F3 बालुवापाटी देउपुर
Niva Niwa Lodge,"Naldum Road, 44812",01-6680097,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Nagarkot Community Homestay,"Bastola Gaun Bus Stop, 6, Nagarkot Road, Nepa, 44812",nagarkothomestay.org,984-1211597,PF4J+XM महामञ्जुश्री नगरकोट
होटल ग्रिनल्यान्ड,भक्तपुर 44800,01-6618115,MCF6+5F भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Durbar Side,"Yalachhen Road, भक्तपुर 44800",984-3269971,MCFH+8P भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Home Stay Nepal,चाँगुनारायण 44600,nepalihomestay.com,985-1080619,MCX8+4V चाँगुनारायण
ग्रीन हिल resort,"suryabinayak Suryabinayak-10, 44806",980-1177560,JFWG+69 सुर्यविनायक,तपाईंको फोनमा पठाउनुहोस्
Dubochaur Rest House & Home stay,"Nagarkot-Higuwapati Road, बालुवापाटी देउपुर 44812",business.site,984-3645372,PG9G+44 बालुवापाटी देउपुर
Нагаркот,"PG83+WRP, महामञ्जुश्री नगरकोट 44812",तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्,PG9G+44 बालुवापाटी देउपुर
Unique point home stay,"PG7H+X6G, बालुवापाटी देउपुर 44812",984-1072508,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Hotel Garuda,"Taumadhi Square, भक्तपुर 44800",hotelgaruda.com.np,01-6620537,MCCH+8H भक्तपुर
Hotel Traditional and Rooftop cafe,"Durbar Square, भक्तपुर 44800",यहाँ अवस्थित छ: भक्तपुर दरबार क्षेत्र,hoteltraditional.com,985-1102207
Pancha Shree Yoga Retreat,"Chhaya basti, Telkot Rd, भक्तपुर",panchasriyoga.com,986-6690671,PF89+CX भक्तपुर
Hotel BhaktapurInn,"Byasi -2, 44800",01-6612220,MCFH+P8 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Sindhu Organic Agro Farm & Farm Stay,"QGQ3+3FC, भोटेचौर 45300",facebook.com,985-1159567,तपाईंको फोनमा पठाउनुहोस्
Hotel Terracotta And Rooftop Restaurant,"MCCH+PCC, Durbar square, भक्तपुर 44800",01-6610230,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Hotel Empire & Rooftop Restaurant,"Taumadhi Square, Nyatapola 44800",hotelempire.com.np,986-0116645,MCCH+MP भक्तपुर
Hotel Bhadgaon,"Barahisthan, भक्तपुर 44800",यहाँ अवस्थित छ: KTM CTY - Bhaktapur,hotelbhadgaon.com,01-6620038
Hotel Vintage Home,"Balakhu-2, Durbar square, भक्तपुर 44800",01-6616172,MCFH+5J भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Taleju Grand Hotel,"Darbar Square, भक्तपुर 44800",984-9761715,MCFH+3H भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
कुमारी अतिथि हाउस,"देगमाना मार्ग, भक्तपुर 44800",kumariguesthouse.com.np,01-6618266,MCCH+JF भक्तपुर
स्वस्तिक गेस्ट हाउस,"Bekhal - 10, भक्तपुर 44800",985-1000425,MCGM+6F भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
भक्तपुर गेष्ट हाउस,"chundevi, सुर्यविनायक 44800",bhaktapurguesthouse.com.np,01-5092197,MC78+JH सुर्यविनायक
Soaltee Westend Resort Nagarkot,महामञ्जुश्री नगरकोट 44601,tayoecoresort.com,01-6680244,PG62+7P महामञ्जुश्री नगरकोट
शुभ गेस्ट हाउस,"Bolachhen-4, Pottery Square, Bhaktapur 44800 Bhaktapur 44800, Bagmati, Nepal, 44800",btdc.com.np,01-6612419,MCCH+39 भक्तपुर
ठूलो घण्टा भोजनालय तथा अतिथि गृह,"MCFM+3V3, Inacho - Hanumanghat Rd, भक्तपुर 44800",01-6611675,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
होटेल ल्यायाकु दरबार,"Yalachhen Road, भक्तपुर 44800",hotellayakudurbar.com,01-6618491,MCFH+9M भक्तपुर
Bhaktapur Paradise Hotel,"F099, Bagmati, Central Region, सुर्यविनायक 44800",bhaktapurparadise.com,01-5092720,MC5F+J8 सुर्यविनायक
Siddhi Laxmi Guest House and Cafe,भक्तपुर 44800,01-6612500,MCCH+6Q भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Indrayani Boutique Hotel & Cafe,भक्तपुर 44800,indrayanihotel.com,01-6612770,MCFG+3P भक्तपुर
Peacock Guest House,"दत्तात्रय मन्दिर, भक्तपुर 44800",peacockguesthousenepal.com,01-6611829,MCFM+8X भक्तपुर
Laxmi homestay,भक्तपुर 44800,facebook.com,984-9125800,MCFG+3M भक्तपुर
Sulabha Residency,"MC2J+W82 Darjeeling Height, भक्तपुर 44800",981-4857674,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Inn Sangrahalaya,"Balakhu Ganesh Durbar Square, भक्तपुर 44800",985-1170773,MCFH+3P भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Annapurna Guest House,"Taumadhi Tole, भक्तपुर 00488",984-1567239,MCCH+MR भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
The Nanee,"Itachhen 2, भक्तपुर 44800",thenanee.com,01-5915110,MCFG+37 भक्तपुर
Manju Baha Hotel & Restaurant,"MCFM+WGR, भक्तपुर 44800",manjubahahotelschool.com,976-7234014,तपाईंको फोनमा पठाउनुहोस्
तुलजा बुटिक होटल,"durbar square, भक्तपुर 44800",01-6618144,MCFH+7M भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
SANGI Home,भक्तपुर 44800,984-1358000,MCCG+QP भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Rupakot & Roof Top Restaurent,"MCCH+5GF, बोलाछें सडक, भक्तपुर 44800",984-3519823,तपाईंको फोनमा पठाउनुहोस्,तपाईंको फोनमा पठाउनुहोस्
Shekhar shared home,"Inacho - Hanumanghat Rd, भक्तपुर 44800",985-1052236,MCFM+3V भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Golden Gate Guest House,भक्तपुर 44800,यहाँ अवस्थित छ: भक्तपुर दरबार क्षेत्र,01-6610534,MCCH+JG भक्तपुर
Mahamanjushree homestay,"Doodhpati, भक्तपुर",981-8349449,MC9C+XR भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
प्लानेट भक्तपुर होटल,"7, cha vdc, Mandev Marg, भक्तपुर 44800",facebook.com,985-1170947,MCJJ+R3 भक्तपुर
Hotel Tryst,"MCCC+PV7, dudhpati street, नगरकोट सडक, भक्तपुर 44800",01-6619960,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
"Hotel View point, Nagarkot","PGFG+F64, बालुवापाटी देउपुर 44812",hotelviewpoint.com.np,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Pradhan House Home Stay,भक्तपुर 44800,01-6611785,MCFP+R7 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Nagarkot Shangrila Resort,बालुवापाटी देउपुर 44812,nagarkotshangrila.com.np,01-5910109,PGCH+R5 बालुवापाटी देउपुर
सनी गेस्ट हाउस,"Near Nyatapola Temple, Taumadi Marg, Taumadi 44800",984-3680588,MCCH+GV भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
बज्र गेस्टहाउस एन्ड रुफटप रेस्टुरेन्ट,"नगरकोट सडक 10, भक्तपुर 44800",01-6610782,MCFH+2R भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Milla Guesthouse,"Devli 10, भक्तपुर 44800",millaguesthousebhaktapur.com,981-7849759,MCFM+PH भक्तपुर
SPOT ON 430 Hotel Heaven Hill Pvt Ltd,"Hotel Heaven Hill Nagarkot 6- Bastola Gaun, 44804",oyorooms.com,PF5J+FX महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
सिटी गेस्ट हाउस,"गोलमढ़ी -7, दाम्ला गल्लि, 44800",cityguesthouse.com.np,01-6613038,MCCJ+WJ भक्तपुर
khwapa chhen Guest House and Restaurant,"3, भक्तपुर 44800",khwapachhen.com,970-2654830,MCCG+RW भक्तपुर
Shiva Guest House,"Durbar square, भक्तपुर 46800",bhaktapurhotel.com,985-1129912,MCCH+PC भक्तपुर
माउन्टेन गेस्ट हाउस,"Durbar square balakhu, भक्तपुर 44800",984-1369029,MCFH+2M भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Cosy Hotel,"Pottery Square,, भक्तपुर 44800",cosyhotel.com.np,984-1231795,MCCH+38 भक्तपुर
Hotel Royal Heritage Inn,"नगरकोट सडक, महामञ्जुश्री नगरकोट 44804",986-0536935,PG99+98 महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
होटल हेरिटेज,सुर्यविनायक 44800,hotelheritage.com.np,01-6611628,MC8F+XX सुर्यविनायक
Khwopa Guest House,"Ghaiti 04, भक्तपुर 44800",यहाँ अवस्थित छ: 5 storey temple,01-6614661,MCCH+3H भक्तपुर
Sweet Inn,"Tripurasundari Marg, भक्तपुर 44800",984-9425951,MCFJ+52 भक्तपुर,तपाईंको फोनमा पठाउनुहोस्
Hotel Galaxy View Tower,"Galaxy chowk, 44812",984-1214957,PGCF+V8 महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
हार्ट अफ भक्तपुर गेस्ट हाउस,"Taumadhi Square, भक्तपुर 11",oyorooms.com,01-4217474,MCCJ+33 भक्तपुर
Heirtage Inn Guest House,"MCFH+4P9, Balakhu, भक्तपुर",तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्,MCCJ+33 भक्तपुर
Gauri Shankar,महामञ्जुश्री नगरकोट 44812,01-5917497,PG99+75 महामञ्जुश्री नगरकोट,तपाईंको फोनमा पठाउनुहोस्
Sanjivani buti organic krisi farm & Resort,बालुवापाटी देउपुर 44812,985-1249098,PG3G+H8 बालुवापाटी देउपुर,तपाईंको फोनमा पठाउनुहोस्
Vajra Guest House,"MCFH+2RH, भक्तपुर 44800",01-6610782,तपाईंको फोनमा पठाउनुहोस्,यो व्यवसाय दाबी गर्नुहोस्
Unkai Resort,44812,01-6680178,PGHG+6H बालुवापाटी देउपुर,तपाईंको फोनमा पठाउनुहोस्
EAGLE NEST HOTEL,"Balambutol 4, चाँगुनारायण 44800",984-1480637,PC8H+GG चाँगुनारायण,तपाईंको फोनमा पठाउनुहोस्
